raw_venue,normalized_venue
PROCEEDINGS OF THE 2013 12TH IEEE INTERNATIONAL CONFERENCE ON COGNITIVE INFORMATICS & COGNITIVE COMPUTING (ICCI CC 2013),Proceedings Of The Ieee International Conference On Cognitive Informatics And Cognitive Computing
2013 INTERNATIONAL CONFERENCE ON INDOOR POSITIONING AND INDOOR NAVIGATION (IPIN),International Conference On Indoor Positioning And Indoor Navigation
ALS'00 Proceedings of the 4th annual Linux Showcase & Conference - Volume 4,Alsproceedings Of The Annual Linux Showcase And Conference
Image Vision Comput.,Image Vision Comput
CCS '94 Proceedings of the 2nd ACM Conference on Computer and communications security,Ccs Proceedings Of The Acm Conference On Computer And Communications Security
NONLINEAR MATHEMATICS FOR UNCERTAINTY AND ITS APPLICATIONS,Nonlinear Mathematics For Uncertainty And Its Applications
international workshop on digital watermarking,International Workshop On Digital Watermarking
PROCEEDINGS OF 5TH INTERNATIONAL CONFERENCE IN SOFTWARE ENGINEERING FOR DEFENCE APPLICATIONS,Proceedings Of International Conference In Software Engineering For Defence Applications
ACNS,Acns
MMB/DFT,Mmb/Dft
"Alexandria, VA, USA","Alexandria, Va, Usa"
HotCloud'15 Proceedings of the 7th USENIX Conference on Hot Topics in Cloud Computing,Hotcloudproceedings Of The Usenix Conference On Hot Topics In Cloud Computing
"Advances in Multimedia Information Processing - PCM 2008: 9th Pacific Rim Conference on Multimedia, Tainan, Taiwan, December 9-13, 2008, Proceedings","Advances In Multimedia Information Processing - Pcm : Pacific Rim Conference On Multimedia, Tainan, Taiwan, December -, , Proceedings"
PROCEEDINGS OF THE 2019 INTERNATIONAL CONFERENCE ON INTERNET OF THINGS DESIGN AND IMPLEMENTATION (IOTDI '19),Proceedings Of The International Conference On Internet Of Things Design And Implementation
Workshop on Distributed Algorithms/International Symposium on Distributed Computing,Workshop On Distributed Algorithms/International Symposium On Distributed Computing
Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition),Huazhong Keji Daxue Xuebao /Journal Of Huazhong University Of Science And Technology (Natural Science
Proceedings of the 2015 Conference on Certified Programs and Proofs,Proceedings Of The Conference On Certified Programs And Proofs
2015 IEEE INTERNATIONAL SYMPOSIUM ON MEDICAL MEASUREMENTS AND APPLICATIONS (MEMEA) PROCEEDINGS,Ieee International Symposium On Medical Measurements And Applications Proceedings
"Proceedings - 3rd International Conference on Intelligent Information Hiding and Multimedia Signal Processing, IIHMSP 2007.","Proceedings - International Conference On Intelligent Information Hiding And Multimedia Signal Processing, Iihmsp"
ISIT'09 Proceedings of the 2009 IEEE international conference on Symposium on Information Theory - Volume 4,Isitproceedings Of The Ieee International Conference On Symposium On Information Theory
Advances in neural information processing systems,Advances In Neural Information Processing Systems
"2018 2ND INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPILATION, COMPUTING AND COMMUNICATIONS (HP3C 2018)","International Conference On High Performance Compilation, Computing And Communications"
PROCEEDINGS 2016 IEEE INTERNATIONAL CONFERENCE ON SERVICES COMPUTING (SCC 2016),Proceedings Ieee International Conference On Services Computing
"2015 IEEE International Conference on Software Quality, Reliability and Security - Companion","Ieee International Conference On Software Quality, Reliability And Security - Companion"
ICITCS,Icitcs
2017 16th IEEE International Conference on Machine Learning and Applications (ICMLA),Ieee International Conference On Machine Learning And Applications
international conference on database theory,International Conference On Database Theory
ISWC '08 Proceedings of the 7th International Conference on The Semantic Web,Iswc Proceedings Of The International Conference On The Semantic Web
Program Specification,Program Specification
Quality Software,Quality Software
Software Engineering and Middleware Engineering Distributed Objects,Software Engineering And Middleware Engineering Distributed Objects
WPA@MobiSys,Wpa@Mobisys
Presence: Teleoperators and Virtual Environments,Presence: Teleoperators And Virtual Environments
2018 IEEE 7th Global Conference on Consumer Electronics (GCCE),Ieee Global Conference On Consumer Electronics
2018 Asian Hardware Oriented Security and Trust Symposium (AsianHOST),Asian Hardware Oriented Security And Trust Symposium
Solid- State Circuits Conference -,Solid- State Circuits Conference
Springer Proceedings in Advanced Robotics,Springer Proceedings In Advanced Robotics
2019 IEEE International Symposium on Local and Metropolitan Area Networks (LANMAN),Ieee International Symposium On Local And Metropolitan Area Networks
CHINAGRID '11 Proceedings of the 2011 Sixth Annual ChinaGrid Conference,Chinagrid Proceedings Of The Sixth Annual Chinagrid Conference
GRAPH-BASED REPRESENTATION AND REASONING (ICCS 2016),Graph-Based Representation And Reasoning
2015 IEEE 10th International Conference on Global Software Engineering Workshops,Ieee International Conference On Global Software Engineering Workshops
Spatial Information Theory,Spatial Information Theory
Journal on Communications,Journal On Communications
Ubiquitous Virtual Reality,Ubiquitous Virtual Reality
SCG '92 Proceedings of the eighth annual symposium on Computational geometry,Scg Proceedings Of The Eighth Annual Symposium On Computational Geometry
"Universal Access in Human-Computer Interaction: Access to Interaction, Pt II","Universal Access In Human-Computer Interaction: Access To Interaction, Pt"
"WPMVP '16: Workshop on Programming Models for SIMD/Vector Programming 2016
		      Barcelona
		      Spain
		    March, 2016",Wpmvp : Workshop On Programming Models For Simd/Vector Programming Barcelona Spain March
"Web Reasoning and Rule Systems, RR 2014","Web Reasoning And Rule Systems, Rr"
SWAT '00 Proceedings of the 7th Scandinavian Workshop on Algorithm Theory,Swat Proceedings Of The Scandinavian Workshop On Algorithm Theory
INTERSPEECH,Interspeech
2016 IEEE 17th Annual Wireless and Microwave Technology Conference (WAMICON),Ieee Annual Wireless And Microwave Technology Conference
2019 IEEE Latin-American Conference on Communications (LATINCOM),Ieee Latin-American Conference On Communications
Proceedings of the Second International Workshop on Developing Tools as Plug-Ins,Proceedings Of The Second International Workshop On Developing Tools As Plug-Ins
PEPM '02 Proceedings of the 2002 ACM SIGPLAN workshop on Partial evaluation and semantics-based program manipulation,Pepm Proceedings Of The Acm Sigplan Workshop On Partial Evaluation And Semantics-Based Program Manipulation
SFCS '75 Proceedings of the 16th Annual Symposium on Foundations of Computer Science,Sfcs Proceedings Of The Annual Symposium On Foundations Of Computer Science
SDL'99: THE NEXT MILLENNIUM,Sdl: The Next Millennium
Transfusion,Transfusion
GLDV-Jahrestagung,Gldv-Jahrestagung
Concurrency-practice and Experience,Concurrency-Practice And Experience
"SPAA '15: 27th ACM Symposium on Parallelism in Algorithms and Architectures
		      Portland
		      Oregon
		      USA
		    June, 2015",Spaa : Acm Symposium On Parallelism In Algorithms And Architectures Portland Oregon Usa June
FRONTIER IN FUNCTIONAL MANUFACTURING TECHNOLOGIES,Frontier In Functional Manufacturing Technologies
Journal of Computational Methods in Sciences and Engineering - Alkali Metal Clusters,Journal Of Computational Methods In Sciences And Engineering - Alkali Metal Clusters
Proceedings of the IFIP Sixth International Conference on High Performance Networking VI,Proceedings Of The Ifip Sixth International Conference On High Performance Networking
"2016 IEEE NUCLEAR SCIENCE SYMPOSIUM, MEDICAL IMAGING CONFERENCE AND ROOM-TEMPERATURE SEMICONDUCTOR DETECTOR WORKSHOP (NSS/MIC/RTSD)","Ieee Nuclear Science Symposium, Medical Imaging Conference And Room-Temperature Semiconductor Detector Workshop"
Sensing and Imaging,Sensing And Imaging
IMTCI,Imtci
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS,International Journal Of Satellite Communications
IEEE JOURNAL OF SOLID-STATE CIRCUITS,Ieee Journal Of Solid-State Circuits
Proceedings of the Winter Simulation Conference,Proceedings Of The Winter Simulation Conference
PPPJ/IRE,Pppj/Ire
BJET,Bjet
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,Combinatorial Chemistry And High Throughput Screening
Communications in Mathematical Sciences,Communications In Mathematical Sciences
DEON,Deon
"2010 IEEE INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS, NETWORKING AND INFORMATION SECURITY (WCNIS), VOL 1","Ieee International Conference On Wireless Communications, Networking And Information Security"
2017 IEEE 8th International Conference on Awareness Science and Technology (iCAST),Ieee International Conference On Awareness Science And Technology
"ACM International Conference Proceeding Series,",Acm International Conference Proceeding Series
Autonomous Intelligent Systems: Agents and Data Mining,Autonomous Intelligent Systems: Agents And Data Mining
SimVis,Simvis
"2013 INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND EMBEDDED SYSTEMS (CARE-2013)","International Conference On Control, Automation, Robotics And Embedded Systems"
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,Ieee Transactions On Aerospace And Electronic Systems
BDIOT 2018: PROCEEDINGS OF THE 2018 2ND INTERNATIONAL CONFERENCE ON BIG DATA AND INTERNET OF THINGS,Bdiot : Proceedings Of The International Conference On Big Data And Internet Of Things
UKCI,Ukci
"ADVANCES IN COMPUTATIONAL INTELLIGENCE, PT II","Advances In Computational Intelligence, Pt"
international workshop on security,International Workshop On Security
2015 IEEE International Conference on Services Computing,Ieee International Conference On Services Computing
real time systems symposium,Real Time Systems Symposium
"Reno, NV, USA","Reno, Nv, Usa"
"Semantics, Knowledge and Grid","Semantics, Knowledge And Grid"
"SECURE IT SYSTEMS, NORDSEC 2019","Secure It Systems, Nordsec"
genetic and evolutionary computation conference,Genetic And Evolutionary Computation Conference
SIGGRAPH '74 Proceedings of the 1st annual conference on Computer graphics and interactive techniques,Siggraph Proceedings Of The Annual Conference On Computer Graphics And Interactive Techniques
WAIM,Waim
AAAI Fall Symposium: Manifold Learning and Its Applications,Aaai Fall Symposium: Manifold Learning And Its Applications
GRAPHICS INTERFACE '95 - PROCEEDINGS,Graphics Interface - Proceedings
EGVE/IPT,Egve/Ipt
Procedia - Social and Behavioral Sciences,Procedia - Social And Behavioral Sciences
St. Maarten,St Maarten
International Workshop on Software Measurement,International Workshop On Software Measurement
APBC '04 Proceedings of the second conference on Asia-Pacific bioinformatics - Volume 29,Apbc Proceedings Of The Second Conference On Asia-Pacific Bioinformatics
"Ann Arbor, MI, USA","Ann Arbor, , Usa"
Workshop on New Security Paradigms,Workshop On New Security Paradigms
SIGSOFT '98/FSE-6 Proceedings of the 6th ACM SIGSOFT international symposium on Foundations of software engineering,Sigsoft /Fse-Proceedings Of The Acm Sigsoft International Symposium On Foundations Of Software Engineering
Spoken Language Technology Workshop,Spoken Language Technology Workshop
Inf. Sci.,Inf Sci
BCS CONFERENCE SERIES,Bcs Conference Series
2015 12th International Conference on Fuzzy Systems and Knowledge Discovery (FSKD),International Conference On Fuzzy Systems And Knowledge Discovery
international on-line testing symposium,International On-Line Testing Symposium
IEEE Geosci. Remote Sensing Lett.,Ieee Geosci Remote Sensing Lett
NIPS Causality: Objectives and Assessment,Nips Causality: Objectives And Assessment
SLPAT@NAACL,Slpat@Naacl
arXiv: Machine Learning,Arxiv: Machine Learning
ISAR,Isar
"ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT II","Advances In Production Management Systems: Innovative Production Management Towards Sustainable Growth , Pt"
2014 IEEE Signal Processing in Medicine and Biology Symposium (SPMB),Ieee Signal Processing In Medicine And Biology Symposium
ITM Web of Conferences,Itm Web Of Conferences
Increasing TCP's Initial Window,Increasing Tcps Initial Window
Proceedings Ninth Euromicro Workshop on Real Time Systems,Proceedings Ninth Euromicro Workshop On Real Time Systems
"The Journal of VLSI Signal Processing Systems for Signal, Image, and Video Technology","The Journal Of Vlsi Signal Processing Systems For Signal, Image, And Video Technology"
Journal of Computer Assisted Learning,Journal Of Computer Assisted Learning
2019 17th IEEE International New Circuits and Systems Conference (NEWCAS),Ieee International New Circuits And Systems Conference
NOLISP,Nolisp
2018 IEEE Conference on Dependable and Secure Computing (DSC),Ieee Conference On Dependable And Secure Computing
Theoretical Computer Science - Logic and complexity in computer science,Theoretical Computer Science - Logic And Complexity In Computer Science
